place,x,y,type,type2,subject,subject2
Aber_railway_station,314867,186943,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Caerphilly_County_Borough,
Abercarn_railway_station,321432,195224,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,
Abertridwr_railway_station,312040,189194,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,
Abertysswg_railway_station,313166,205405,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,
Argoed_railway_station,317730,200234,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,
Bargoed_railway_station,315086,200055,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Caerphilly_County_Borough,
Brithdir_railway_station,315242,201944,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Caerphilly_County_Borough,
Bute_Town,310401,209170,dbo:PopulatedPlace,dbo:Settlement,dbc:Villages_in_Caerphilly_county_borough,
Caerphilly_railway_station,315642,186552,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Caerphilly_County_Borough,
Crosskeys_railway_station,322151,191932,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_Caerphilly_County_Borough,
Darran_and_Deri_railway_station,312833,201751,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_Caerphilly_County_Borough,
Aberbargoed_Hospital,315579,200136,dbo:Hospital,,dbc:Defunct_hospitals_in_Wales,
Caerphilly_Castle,315532,187065,dbo:Castle,dbo:ArchitecturalStructure,dbc:Castles_in_Caerphilly_county_borough,
Ruperra_Castle,321981,186317,dbr:Castle,,dbc:Castles_in_Caerphilly_county_borough,
Allt-yr-yn,329434,188398,dbo:PopulatedPlace,dbo:Settlement,"dbc:Wards_of_Newport,_Wales",
Bassaleg_Junction_railway_station,328170,187193,dbo:ArchitecturalStructure,dbo:Station,"dbc:Disused_railway_stations_in_Newport,_Wales",
Caerleon_railway_station,333724,191021,dbo:ArchitecturalStructure,dbo:Station,"dbc:Disused_railway_stations_in_Newport,_Wales",
Celtic_Manor_Resort,335514,189774,dbo:Hotel,,dbc:Hotels_in_Wales,
Kingsway_Shopping_Centre,331326,187916,dbo:ShoppingMall,,"dbc:Shopping_in_Newport,_Wales",
Aberthaw_High_Level_railway_station,303480,166499,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_the_Vale_of_Glamorgan,
Aberthaw_Low_Level_railway_station,303456,166467,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_the_Vale_of_Glamorgan,
Aberthaw_power_stations,302340,166299,dbo:ArchitecturalStructure,dbo:PowerStation,dbc:Coal-fired_power_stations_in_Wales,
Aberthin_Platform_railway_station,300472,175535,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_the_Vale_of_Glamorgan,
Alberta_Place_Halt_railway_station,318368,169877,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_the_Vale_of_Glamorgan,
Atlantic_College_Lifeboat_Station,293492,168045,yago:LifeboatStationsInWales,,dbc:Lifeboat_stations_in_Wales,
Barry_Dock_Lifeboat_Station,312315,166762,yago:LifeboatStationsInWales,,dbc:Lifeboat_stations_in_Wales,
Barry_Docks_railway_station,312345,167797,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,
Barry_Island_railway_station,311484,166699,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,
Barry_Power_Station,314636,168392,dbo:ArchitecturalStructure,dbo:PowerStation,Natural_gas-fired_power_stations_in_Wales,
Barry_railway_station,310720,167202,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,
Cogan_railway_station,317459,172572,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,
Cowbridge_railway_station,299972,174477,dbo:ArchitecturalStructure,dbo:Station,dbc:Disused_railway_stations_in_the_Vale_of_Glamorgan,
Dinas_Powys_railway_station,315368,170971,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,
Dingle_Road_railway_station,318074,171884,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,
Eastbrook_railway_station,316263,171680,dbo:ArchitecturalStructure,dbo:Station,dbc:Railway_stations_in_the_Vale_of_Glamorgan,
Bastion_Road,312119,168868,dbo:Venue,yago:StadiumsInWales,dbc:Football_venues_in_Wales,
Copthorne_Hotel_Cardiff,311756,174681,dbo:Hotel,,dbc:Hotels_in_Cardiff,
Dyffryn_Gardens,309609,172216,dbo:Park,,dbc:Parks_in_the_Vale_of_Glamorgan,
Llantwit_Major_Roman_Villa,295870,169976,dbo:ArchitecturalStructure,yago:ArchaeologicalSitesInTheValeOfGlamorgan,Roman_villas_in_Wales,dbc:Archaeological_sites_in_the_Vale_of_Glamorgan
